         4502012 function calls (4491405 primitive calls) in 32.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      427    0.002    0.000    0.002    0.000 {_codecs.utf_8_decode}
        1    0.002    0.002    0.002    0.002 manifest.py:41(<module>)
     7500    0.002    0.000    0.002    0.000 my_ros_independent_class.py:56(get_list)
     1536    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
     7000    0.002    0.000    0.002    0.000 kalman_filter.py:34(get_cov)
    12663    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
       43    0.002    0.000    0.002    0.000 {dir}
     1494    0.002    0.000    0.003    0.000 __init__.py:2415(key)
      501    0.002    0.000    0.057    0.000 listener.py:365(__init__)
     1510    0.002    0.000    0.004    0.000 names.py:216(is_legal_name)
        1    0.002    0.002    0.002    0.002 {posix.popen}
        1    0.002    0.002    0.149    0.149 stats.py:167(<module>)
      102    0.002    0.000    0.017    0.000 _distn_infrastructure.py:623(_construct_argparser)
        1    0.002    0.002    0.031    0.031 backend_bases.py:33(<module>)
        1    0.002    0.002    0.015    0.015 __init__.py:623(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:88(<module>)
    14350    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
     5638    0.002    0.000    0.003    0.000 sre_parse.py:206(match)
        4    0.002    0.000    0.003    0.001 six.py:1(<module>)
     1520    0.002    0.000    0.007    0.000 threading.py:285(__enter__)
        1    0.002    0.002    0.010    0.010 SimpleXMLRPCServer.py:97(<module>)
        1    0.001    0.001    0.043    0.043 __init__.py:106(<module>)
        1    0.001    0.001    0.191    0.191 sources_list.py:30(<module>)
       11    0.001    0.000    0.004    0.000 artist.py:1042(get_aliases)
        1    0.001    0.001    0.002    0.002 linalg.py:10(<module>)
        1    0.001    0.001    0.002    0.002 socket.py:45(<module>)
     1748    0.001    0.000    0.002    0.000 __init__.py:2542(__getattr__)
        1    0.001    0.001    0.016    0.016 textpath.py:3(<module>)
      498    0.001    0.000    0.060    0.000 __init__.py:2328(_version_from_file)
      249    0.001    0.000    0.002    0.000 __init__.py:2587(insert_on)
      181    0.001    0.000    0.039    0.000 sre_compile.py:433(_compile_info)
        1    0.001    0.001    0.172    0.172 pyplot.py:17(<module>)
      224    0.001    0.000    0.002    0.000 utils.py:73(__call__)
        1    0.001    0.001    0.117    0.117 client.py:37(<module>)
      102    0.001    0.000    0.060    0.001 _distn_infrastructure.py:703(_construct_doc)
   402/20    0.001    0.000    0.005    0.000 pyparsing.py:957(_parseNoCache)
     2894    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     3756    0.001    0.000    0.007    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.001    0.001 hashlib.py:56(<module>)
     2549    0.001    0.000    0.006    0.000 threading.py:215(__exit__)
        2    0.001    0.001    0.001    0.001 {function seed at 0x7f04beb34230}
   864/48    0.001    0.000    0.004    0.000 copy.py:145(deepcopy)
      413    0.001    0.000    0.001    0.000 function_base.py:2151(__init__)
        1    0.001    0.001    0.003    0.003 legend.py:23(<module>)
     3890    0.001    0.000    0.001    0.000 version.py:244(<genexpr>)
        1    0.001    0.001    0.003    0.003 cElementTree.py:3(<module>)
       17    0.001    0.000    0.001    0.000 {_socket.getaddrinfo}
        2    0.001    0.001    0.008    0.004 __init__.py:41(<module>)
        1    0.001    0.001    0.031    0.031 figure.py:12(<module>)
        1    0.001    0.001    0.007    0.007 backend_tkagg.py:2(<module>)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
     5299    0.001    0.000    0.001    0.000 stat.py:24(S_IFMT)
      181    0.001    0.000    0.146    0.001 sre_compile.py:567(compile)
        1    0.001    0.001    0.025    0.025 _subplots.py:1(<module>)
     1031    0.001    0.000    0.011    0.000 __init__.py:870(__setitem__)
       37    0.001    0.000    0.004    0.000 {built-in method Parse}
       17    0.001    0.000    0.001    0.000 {method 'connect' of '_socket.socket' objects}
        1    0.001    0.001    0.006    0.006 mathtext.py:16(<module>)
        2    0.001    0.001    0.006    0.003 __init__.py:45(<module>)
        1    0.001    0.001    0.005    0.005 __init__.py:205(<module>)
      530    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      504    0.001    0.000    0.027    0.000 topics.py:812(__init__)
      517    0.001    0.000    0.001    0.000 genericpath.py:93(_splitext)
      498    0.001    0.000    0.062    0.000 __init__.py:2675(_reload_version)
      499    0.001    0.000    0.006    0.000 transform_listener.py:71(static_callback)
      501    0.001    0.000    0.004    0.000 listener.py:50(__init__)
        1    0.001    0.001   31.479   31.479 fast_slam.py:35(start_slam)
     5474    0.001    0.000    0.001    0.000 threading.py:64(_note)
        1    0.001    0.001    0.002    0.002 numeric.py:1(<module>)
      322    0.001    0.000    0.002    0.000 colors.py:265(to_rgb)
        2    0.001    0.001    0.002    0.001 __init__.py:3(<module>)
      686    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.001    0.001    0.001    0.001 _ode.py:39(<module>)
        1    0.001    0.001    0.017    0.017 __init__.py:228(<module>)
      288    0.001    0.000    0.001    0.000 package.py:284(__eq__)
        1    0.001    0.001    0.008    0.008 xmlrpclib.py:138(<module>)
        1    0.001    0.001    0.005    0.005 ticker.py:150(<module>)
       46    0.001    0.000    0.070    0.002 topics.py:1019(publish)
      703    0.001    0.000    0.005    0.000 {any}
     3285    0.001    0.000    0.001    0.000 sre_parse.py:137(__len__)
      181    0.001    0.000    0.053    0.000 sre_parse.py:706(parse)
      220    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      403    0.001    0.000    0.004    0.000 artist.py:1071(get_valid_values)
        1    0.001    0.001    0.039    0.039 collections.py:10(<module>)
     1035    0.001    0.000    0.013    0.000 ElementTree.py:694(find)
     2708    0.001    0.000    0.001    0.000 sre_parse.py:149(append)
     3756    0.001    0.000    0.006    0.000 _methods.py:37(_any)
     2352    0.001    0.000    0.001    0.000 {method 'split' of 'unicode' objects}
      220    0.001    0.000    0.004    0.000 copy.py:306(_reconstruct)
      500    0.001    0.000    0.080    0.000 particle_filter.py:134(__init__)
        1    0.001    0.001    0.091    0.091 particle_filter.py:34(__init__)
        1    0.001    0.001    0.012    0.012 rcsetup.py:15(<module>)
        1    0.001    0.001    0.001    0.001 core.py:2642(MaskedArray)
     1494    0.001    0.000    0.002    0.000 __init__.py:2333(<lambda>)
       30    0.001    0.000    0.112    0.004 __init__.py:663(add_entry)
      506    0.001    0.000    0.039    0.000 {next}
      433    0.001    0.000    0.001    0.000 {method 'join' of 'unicode' objects}
        1    0.001    0.001    0.010    0.010 transforms.py:30(<module>)
      802    0.001    0.000    0.004    0.000 re.py:148(sub)
        1    0.001    0.001    0.002    0.002 parser.py:16(<module>)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
     1520    0.001    0.000    0.004    0.000 threading.py:288(__exit__)
        1    0.001    0.001    0.180    0.180 pip.py:31(<module>)
        1    0.001    0.001    0.006    0.006 httplib.py:67(<module>)
        1    0.001    0.001    0.009    0.009 fontconfig_pattern.py:7(<module>)
     1912    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     2673    0.001    0.000    0.001    0.000 collections.py:349(<genexpr>)
      684    0.001    0.000    0.001    0.000 __init__.py:22(find_module)
        1    0.001    0.001    0.004    0.004 lines.py:4(<module>)
      689    0.001    0.000    0.001    0.000 sre_compile.py:428(_simple)
      501    0.001    0.000    0.001    0.000 buffer_interface.py:44(__init__)
        1    0.001    0.001    0.011    0.011 network.py:41(<module>)
      169    0.001    0.000    0.003    0.000 __init__.py:1579(_get)
        1    0.001    0.001    0.008    0.008 font_manager.py:21(<module>)
        1    0.001    0.001    0.001    0.001 cyaml.py:2(<module>)
     1508    0.001    0.000    0.001    0.000 names.py:61(isstring)
      103    0.001    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.001    0.001    0.012    0.012 artist.py:1(<module>)
      334    0.001    0.000    0.018    0.000 __init__.py:1872(get_metadata_lines)
        1    0.001    0.001    0.003    0.003 pyplot.py:2173(_setup_pyplot_info_docstrings)
        1    0.001    0.001    0.002    0.002 index_tricks.py:1(<module>)
        3    0.001    0.000    0.052    0.017 __init__.py:33(<module>)
        1    0.001    0.001    0.069    0.069 loader.py:2(<module>)
      231    0.001    0.000    0.001    0.000 pyparsing.py:805(__init__)
        1    0.001    0.001    0.694    0.694 kalman_filter.py:2(<module>)
        1    0.001    0.001    0.022    0.022 xmlrpc.py:35(<module>)
        1    0.001    0.001    0.002    0.002 _base.py:1(<module>)
        1    0.001    0.001    0.003    0.003 cm.py:6(<module>)
        1    0.001    0.001    0.002    0.002 manifest.py:36(<module>)
       11    0.001    0.000    0.013    0.001 artist.py:1183(pprint_setters)
      281    0.001    0.000    0.002    0.000 function_base.py:3933(add_newdoc)
     2740    0.001    0.000    0.001    0.000 {method 'release' of 'thread.lock' objects}
      112    0.001    0.000    0.001    0.000 posixpath.py:329(normpath)
      504    0.001    0.000    0.001    0.000 names.py:135(namespace)
        1    0.001    0.001    0.022    0.022 _distn_infrastructure.py:5(<module>)
     1737    0.001    0.000    0.001    0.000 sre_parse.py:92(__init__)
        1    0.001    0.001    0.001    0.001 lil.py:2(<module>)
        9    0.001    0.000    0.001    0.000 topics.py:194(__init__)
        1    0.001    0.001    0.005    0.005 utils.py:4(<module>)
        1    0.001    0.001    0.005    0.005 _root.py:7(<module>)
        1    0.001    0.001    0.001    0.001 _base.py:400(_AxesBase)
        1    0.001    0.001    0.001    0.001 offsetbox.py:15(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:133(<module>)
        1    0.001    0.001    0.002    0.002 least_squares.py:1(<module>)
      189    0.001    0.000    0.001    0.000 rcsetup.py:119(validate_bool)
        1    0.001    0.001    0.003    0.003 core.py:35(<module>)
